Date,Open,High,Low,Close,Adj Close,Volume
2023-10-20,10763.099609,10799.000000,10695.700195,10725.650391,10725.650391,232512
2023-10-23,10681.000000,10724.650391,10530.450195,10553.650391,10553.650391,227925
2023-10-25,10520.000000,10647.450195,10501.599609,10588.849609,10588.849609,401105
2023-10-26,10539.000000,10594.000000,10392.500000,10424.150391,10424.150391,506129
2023-10-27,10440.049805,10845.000000,10440.000000,10560.700195,10560.700195,1116713
2023-10-30,10700.000000,10700.000000,10245.000000,10397.700195,10397.700195,991168
2023-10-31,10490.000000,10490.000000,10321.000000,10392.299805,10392.299805,439996
2023-11-01,10390.099609,10422.200195,10188.650391,10227.750000,10227.750000,699116
2023-11-02,10290.299805,10345.000000,10201.000000,10303.599609,10303.599609,569194
2023-11-03,10318.000000,10370.000000,10241.000000,10276.299805,10276.299805,517582
2023-11-06,10338.950195,10338.950195,10252.000000,10284.849609,10284.849609,490459
2023-11-07,10300.000000,10326.000000,10235.849609,10253.299805,10253.299805,264935
2023-11-08,10320.000000,10340.450195,10260.599609,10322.299805,10322.299805,287006
2023-11-09,10349.950195,10449.599609,10316.750000,10400.349609,10400.349609,310536
2023-11-10,10375.000000,10416.400391,10320.000000,10388.799805,10388.799805,206395
2023-11-13,10429.000000,10429.000000,10363.650391,10398.400391,10398.400391,261891
2023-11-15,10497.000000,10497.000000,10375.049805,10456.049805,10456.049805,436538
2023-11-16,10480.000000,10543.700195,10409.200195,10484.500000,10484.500000,488715
2023-11-17,10500.000000,10606.799805,10499.150391,10523.500000,10523.500000,403772
2023-11-20,10500.000000,10593.349609,10500.000000,10566.250000,10566.250000,234246
2023-11-21,10619.000000,10619.000000,10500.000000,10535.150391,10535.150391,312242
2023-11-22,10550.000000,10551.250000,10420.000000,10494.549805,10494.549805,378891
2023-11-23,10487.799805,10525.000000,10394.049805,10488.500000,10488.500000,453820
2023-11-24,10505.950195,10566.500000,10462.000000,10515.650391,10515.650391,380306
2023-11-28,10539.950195,10556.400391,10506.000000,10537.549805,10537.549805,268026
2023-11-29,10570.000000,10634.549805,10525.700195,10599.250000,10599.250000,343341
2023-11-30,10581.000000,10649.000000,10546.099609,10608.700195,10608.700195,665660
2023-12-01,10608.000000,10759.000000,10533.049805,10585.700195,10585.700195,591519
2023-12-04,10695.000000,10695.099609,10425.000000,10599.450195,10599.450195,625235
2023-12-05,10650.900391,10770.000000,10563.400391,10721.900391,10721.900391,580996
2023-12-06,10721.900391,10748.950195,10590.000000,10625.750000,10625.750000,464163
2023-12-07,10790.000000,10932.849609,10635.000000,10696.650391,10696.650391,704413
2023-12-08,10730.000000,10748.000000,10551.000000,10618.549805,10618.549805,548373
2023-12-11,10630.000000,10638.000000,10500.049805,10541.750000,10541.750000,579749
2023-12-12,10620.000000,10624.000000,10301.099609,10338.400391,10338.400391,1088687
2023-12-13,10360.000000,10412.900391,10260.000000,10380.049805,10380.049805,603469
2023-12-14,10440.000000,10495.000000,10312.299805,10353.200195,10353.200195,635475
2023-12-15,10459.000000,10476.750000,9832.599609,10286.400391,10286.400391,1244681
2023-12-18,10295.000000,10350.900391,10226.200195,10319.599609,10319.599609,652498
2023-12-19,10319.599609,10377.000000,10206.200195,10233.599609,10233.599609,585734
2023-12-20,10240.000000,10309.049805,9990.000000,10081.250000,10081.250000,964051
2023-12-21,10000.000000,10099.250000,9900.000000,10012.849609,10012.849609,739806
2023-12-22,10050.000000,10318.299805,10030.000000,10217.150391,10217.150391,652545
2023-12-26,10270.000000,10281.200195,10114.700195,10270.650391,10270.650391,395273
2023-12-27,10286.000000,10305.349609,10230.000000,10288.500000,10288.500000,397675
2023-12-28,10310.950195,10310.950195,10187.000000,10271.599609,10271.599609,584234
2023-12-29,10280.450195,10396.650391,10273.000000,10302.349609,10302.349609,705227
2024-01-01,10345.000000,10345.000000,10214.650391,10283.299805,10283.299805,411724
2024-01-02,10283.299805,10294.700195,10151.049805,10197.750000,10197.750000,776837
2024-01-03,10200.000000,10210.000000,10065.000000,10077.650391,10077.650391,521046
2024-01-04,10100.000000,10120.000000,9985.549805,10015.299805,10015.299805,711733
2024-01-05,10010.650391,10075.000000,9970.000000,10017.000000,10017.000000,673131
2024-01-08,10005.000000,10128.950195,9911.900391,9946.700195,9946.700195,600153
2024-01-09,9975.000000,10042.650391,9890.000000,10024.099609,10024.099609,666469
2024-01-10,10049.950195,10050.750000,9950.000000,10010.200195,10010.200195,481699
2024-01-11,10025.099609,10124.099609,10000.000000,10011.099609,10011.099609,1024815
2024-01-12,10025.000000,10044.950195,9935.950195,9965.650391,9965.650391,850190
2024-01-15,9985.099609,10098.799805,9948.000000,10086.900391,10086.900391,463380
2024-01-16,10086.849609,10240.000000,10060.000000,10183.549805,10183.549805,536823
2024-01-17,10124.000000,10161.799805,9996.450195,10051.700195,10051.700195,610250
2024-01-18,9946.049805,10050.000000,9737.650391,9924.500000,9924.500000,614860
2024-01-19,9960.000000,10051.650391,9949.049805,10037.700195,10037.700195,377018
2024-01-23,9862.000000,9973.000000,9832.099609,9860.450195,9860.450195,956269
2024-01-24,9860.000000,10000.000000,9755.000000,9988.200195,9988.200195,459092
2024-01-25,9988.200195,9999.799805,9816.549805,9881.000000,9881.000000,718817
2024-01-29,9931.150391,10035.000000,9875.049805,9991.400391,9991.400391,446516
2024-01-30,10010.849609,10033.500000,9931.500000,9951.650391,9951.650391,399869
2024-01-31,9959.299805,10235.599609,9913.000000,10186.900391,10186.900391,997024
2024-02-01,10210.000000,10699.799805,10204.000000,10637.950195,10637.950195,1869594
2024-02-02,10598.000000,10711.599609,10540.400391,10655.450195,10655.450195,814940
2024-02-05,10602.000000,10759.950195,10400.000000,10428.549805,10428.549805,365105
2024-02-06,10499.950195,10856.750000,10458.000000,10844.849609,10844.849609,829040
2024-02-07,10860.000000,10973.500000,10786.799805,10935.700195,10935.700195,560808
2024-02-08,10951.000000,10951.000000,10689.950195,10743.900391,10743.900391,557082
2024-02-09,10711.250000,10770.000000,10611.099609,10732.849609,10732.849609,645489
2024-02-12,10700.000000,10748.950195,10650.049805,10709.700195,10709.700195,190655
2024-02-13,10730.000000,10830.000000,10640.150391,10794.500000,10794.500000,397979
2024-02-14,10705.000000,11050.000000,10703.400391,11027.950195,11027.950195,354676
2024-02-15,11040.000000,11133.000000,10980.000000,11090.250000,11090.250000,447248
2024-02-16,11120.000000,11480.000000,11098.000000,11380.400391,11380.400391,716486
2024-02-19,11380.400391,11613.049805,11333.049805,11483.349609,11483.349609,581383
2024-02-20,11440.000000,11479.950195,11315.849609,11446.450195,11446.450195,355044
2024-02-21,11456.000000,11521.000000,11370.000000,11465.849609,11465.849609,348461
2024-02-22,11500.000000,11695.000000,11391.250000,11657.799805,11657.799805,584406
2024-02-23,11704.950195,11720.000000,11475.200195,11535.599609,11535.599609,472884
2024-02-26,11505.000000,11533.950195,11416.450195,11467.000000,11467.000000,277700
2024-02-27,11415.000000,11562.900391,11384.250000,11500.650391,11500.650391,307585
2024-02-28,11471.000000,11498.950195,11130.000000,11152.799805,11152.799805,358812
2024-02-29,11155.000000,11349.000000,11129.500000,11288.349609,11288.349609,943841
2024-03-01,11295.000000,11675.000000,11295.000000,11620.950195,11620.950195,487355
2024-03-04,11600.000000,11677.299805,11544.150391,11594.150391,11594.150391,369936
2024-03-05,11596.049805,11730.000000,11561.799805,11670.599609,11670.599609,320702
2024-03-06,11670.599609,11679.000000,11518.400391,11567.049805,11567.049805,639542
2024-03-07,11571.049805,11633.500000,11421.150391,11510.049805,11510.049805,255325
2024-03-11,11515.150391,11555.900391,11350.049805,11395.549805,11395.549805,525344
2024-03-12,11400.000000,11575.900391,11381.000000,11509.900391,11509.900391,283816
2024-03-13,11510.000000,11554.849609,11267.599609,11390.150391,11390.150391,385204
2024-03-14,11401.750000,11460.000000,11302.049805,11404.599609,11404.599609,523058
2024-03-15,11380.000000,11521.049805,11314.049805,11476.650391,11476.650391,972333
2024-03-18,11436.650391,11665.400391,11366.299805,11636.299805,11636.299805,311049
2024-03-19,11542.099609,11679.950195,11456.150391,11597.049805,11597.049805,409259
2024-03-20,11651.150391,12025.000000,11651.150391,11941.150391,11941.150391,1031037
2024-03-21,11999.000000,12000.000000,11825.349609,11908.150391,11908.150391,544311
2024-03-22,11890.049805,12427.299805,11890.049805,12337.700195,12337.700195,1062263
2024-03-26,12285.549805,12321.900391,12141.200195,12250.549805,12250.549805,507568
2024-03-27,12290.000000,12722.700195,12285.700195,12510.349609,12510.349609,878986
2024-03-28,12569.950195,12726.799805,12385.500000,12600.349609,12600.349609,860324
